store,store_zip_code
1,37865
2,30084
3,30039
4,31210
5,30044
6,31204
7,30064
8,37918
9,31406
10,35801
11,30252
12,30019
13,30303
14,30039
15,30161
16,30088
17,30034
18,37921
19,30269
20,30319
21,30906
22,30076
23,30341
24,37863
25,30236
26,30236
27,30062
28,30127
29,30067
30,31501
31,30043
32,30016
33,37923
34,30909
35,30329
36,29205
37,30215
38,36801
39,30305
40,37919
41,30088
42,30165
43,30102
44,30120
45,30096
46,31419
47,35758
48,30906
49,30135
50,37920
51,29841
52,30316
53,35611
54,30350
55,31216
56,37701
57,30064
58,30041
59,29229
60,29210
61,30901
62,30253
63,37917
64,29803
65,30096
66,37801
67,31021
68,30034
69,30328
70,30080
71,30033
72,30506
73,30115
74,30013
75,30306
76,30720
77,30022
78,30126
79,30045
80,30040
81,30064
82,30093
83,30309
84,31088
85,30022
86,31313
87,31206
88,29572
89,31326
90,30701
91,30047
92,30291
93,35802
94,37918
95,31410
96,30114
97,30318
98,30080
99,30075
100,30329
101,30306
102,30188
103,30052
104,30004
105,31545
106,30035
107,30349
108,29575
109,30310
110,30066
111,30043
112,31401
113,30319
114,30339
115,30265
116,31210
117,29204
118,30907
119,30097
120,30076
121,30087
122,30075
123,30809
124,35640
125,30281
126,30605
127,30097
128,36830
129,31406
130,35601
131,30260
132,29582
133,29063
134,31405
135,30024
136,30214
137,37912
138,31404
139,30269
140,30092
141,29910
142,30720
143,37934
144,30030
145,31210
146,31324
147,30014
148,30134
149,30135
150,30127
151,30117
152,30223
153,31408
154,30032
155,30311
156,29801
157,37912
158,37876
159,30122
160,30062
161,30274
162,30084
163,30078
164,30076
165,29579
166,30307
167,30040
168,30350
169,30606
170,29576
171,31201
172,30311
173,35811
174,30144
175,30281
176,31061
177,30024
178,37748
179,31404
180,30342
181,30240
182,30004
183,30606
184,30004
185,36863
186,30189
187,30294
188,30068
189,30141
190,30315
191,30022
192,30518
193,30324
194,37830
195,30263
196,30058
197,30017
198,30143
199,30319
200,30134
201,30066
202,31093
203,30542
204,31069
205,30062
206,30534
207,30024
208,37918
209,37914
210,30101
211,38555
212,30041
213,30125
214,35810
215,37922
216,30101
217,30047
218,30161
219,30338
220,30606
221,30269
222,30064
223,30188
224,30519
225,30005
226,37066
227,37221
228,40223
229,37211
230,37172
231,62906
232,40741
233,42701
234,37076
235,37129
236,40165
237,37207
238,40033
239,62901
240,37115
241,40291
242,40965
243,37110
244,40222
245,47129
246,37128
247,37221
248,40601
249,37174
250,40342
251,40208
252,47131
253,40212
254,40356
255,37217
256,40242
257,40031
258,40505
259,37072
260,37091
261,40065
262,42240
263,40272
264,40004
265,40503
266,40353
267,37203
268,37075
269,37064
270,40207
271,40229
272,62966
273,40258
274,40108
275,37075
276,37122
277,37076
278,37160
279,40422
280,40324
281,40218
282,40513
283,37211
284,42431
285,37205
286,37188
287,40215
288,62948
289,37324
290,40601
291,37042
292,47150
293,40701
294,47150
295,62902
296,40342
297,37388
298,37204
299,42633
300,40245
301,62896
302,37214
303,37042
304,40505
305,42719
306,40356
307,40214
308,40220
309,40241
310,37064
311,40206
312,62263
313,62864
314,42501
315,62832
316,37215
317,40330
318,37218
319,40504
320,37055
321,37211
322,40243
323,62946
324,40213
325,37167
326,40299
327,37206
328,41008
329,37064
330,37211
331,37211
332,37209
333,42301
334,38501
335,40502
336,40380
337,40351
338,42642
339,40211
340,37067
341,40502
342,37013
343,40701
344,47130
345,37087
346,38583
347,40502
348,37127
349,42104
350,37042
351,37129
352,42301
353,37027
354,42701
355,42653
356,40475
357,40383
358,38401
359,40205
360,38464
361,40503
362,42101
363,47250
364,42101
365,40216
366,37167
367,42501
368,40509
369,37130
370,38401
371,47150
372,40515
373,40059
374,42718
375,62959
376,40391
377,42301
378,40216
379,40741
380,37216
381,40219
382,40203
383,40502
384,42367
385,37160
386,29803
387,37748
